ticker,file_date,entry_day,entry_price,exit_day,exit_price,exit_reason,bars_held,pnl_pct,peak_gain_pct,max_drawdown_pct
0547.HK,2024-12-09,2024-12-10,0.4950000047683716,2025-01-10,0.5197500050067901,tp_intraday,20,0.050000000000000044,0.0909091237491153,-0.06060606243050637
13O.F,2024-12-11,2024-12-12,0.01600000075995922,2024-12-13,0.01600000075995922,stop_gap_open,1,0.0,0.0,0.0
1965.HK,2024-12-11,2024-12-12,0.1720000058412552,2024-12-23,0.18400000035762787,tp_gap_open,7,0.06976740760955491,0.09883714634109353,-0.005813965073238725
2BO.F,2024-12-09,2024-12-10,4.71999979019165,2024-12-20,5.050000190734863,tp_gap_open,8,0.06991534220593976,0.0,-0.19491522855301036
6JV.F,2024-12-12,2024-12-13,24.600000381469727,2024-12-18,23.0,stop_gap_open,3,-0.06504066490482452,0.0,-0.06504066490482452
AAP,2024-12-09,2024-12-10,47.310001373291016,2024-12-19,42.57900123596192,stop_intraday,7,-0.09999999999999987,0.0,-0.12978235100648416
AB,2025-02-24,2025-02-25,37.52000045776367,2025-04-02,39.39600048065186,tp_intraday,26,0.050000000000000044,0.05250536238454373,-0.025319849449598752
AB,2025-03-17,2025-03-18,37.63999938964844,2025-04-07,33.875999450683594,stop_intraday,14,-0.09999999999999998,0.03639742173485616,-0.13655684040903604
AB,2025-03-25,2025-03-26,38.380001068115234,2025-04-07,34.542000961303714,stop_intraday,8,-0.09999999999999998,0.016414727355006375,-0.1532048177299331
AB,2025-04-02,2025-04-03,37.099998474121094,2025-04-07,33.38999862670899,stop_intraday,2,-0.09999999999999998,0.0,-0.12398918229955713
ABLLL,2024-12-10,2024-12-11,26.700000762939453,2024-12-27,28.035000801086426,tp_intraday,11,0.050000000000000044,0.12509363509921423,-0.0011236211905713
ACIU,2024-12-13,2024-12-16,2.940000057220459,2024-12-19,2.646000051498413,stop_intraday,3,-0.09999999999999998,0.0,-0.10884359368479479
AFB,2024-12-13,2024-12-16,11.229999542236328,2025-04-09,10.106999588012696,stop_intraday,77,-0.09999999999999987,0.0062333616519982815,-0.11041850593621949
AFIB,2024-12-16,2024-12-17,0.05999999865889549,2024-12-18,0.053999998793005946,stop_intraday,1,-0.09999999999999998,0.030000011796752935,-0.266666654249032
AGAE,2024-12-11,2024-12-12,0.8299999833106995,2024-12-17,0.7469999849796295,stop_intraday,3,-0.09999999999999998,0.009638573943764328,-0.10000000718128266
AIM,2024-12-17,2024-12-18,21.0,2024-12-23,18.900000000000002,stop_intraday,3,-0.09999999999999987,0.0,-0.1428571428571429
AIZ,2024-12-09,2024-12-10,217.75,2025-04-04,195.975,stop_intraday,78,-0.09999999999999998,0.004225020293663784,-0.1414925261014638
AKAM,2024-12-06,2024-12-09,97.75,2025-02-10,102.6375,tp_intraday,41,0.050000000000000044,0.0613810741687979,-0.09023017590613014
AKTX,2024-12-06,2024-12-09,1.2300000190734863,2024-12-10,1.1070000171661378,stop_intraday,1,-0.09999999999999987,0.0,-0.24390244493403168
ALB,2024-12-05,2024-12-06,102.0,2024-12-09,107.10000000000001,tp_intraday,1,0.050000000000000044,0.1167647417853861,0.0
ALIT,2024-12-05,2024-12-06,7.550000190734863,2024-12-19,6.7950001716613775,stop_intraday,9,-0.09999999999999998,0.0,-0.1059602874866944
ALIT,2024-12-10,2024-12-11,7.480000019073486,2024-12-20,6.690000057220459,stop_gap_open,7,-0.10561496789285851,0.0,-0.09625665619728618
AOD,2024-12-06,2024-12-09,8.789999961853027,2025-04-04,7.910999965667725,stop_intraday,79,-0.09999999999999998,0.007963560310353168,-0.12969281813799594
APO,2024-12-11,2024-12-12,178.52999877929688,2025-01-08,160.6769989013672,stop_intraday,17,-0.09999999999999998,0.0,-0.10692878770189285
APPF,2024-12-06,2024-12-09,263.0,2025-01-31,236.70000000000002,stop_intraday,35,-0.09999999999999998,0.0024714596824499946,-0.13155895856850053
AQN.TO,2024-12-12,2024-12-13,6.420000076293945,2025-01-13,6.062395539999794,stop_intraday,18,-0.055701640505366634,0.021806832526770403,-0.06074764203285332
AQUC,2024-12-06,2024-12-09,11.15999984741211,2024-12-23,12.0,tp_gap_open,10,0.07526883190618316,0.04928317188663778,0.0
ARES,2024-12-05,2024-12-06,176.91000366210938,2025-01-16,185.75550384521486,tp_intraday,26,0.050000000000000044,0.07484025753378432,-0.04346844317573939
ARES,2024-12-12,2024-12-13,183.27999877929688,2025-01-21,192.5800018310547,tp_gap_open,23,0.05074205103502183,0.0624181717459642,-0.07671321285594612
ARQQ,2024-12-10,2024-12-11,29.0,2024-12-12,24.34000015258789,stop_gap_open,1,-0.1606896499107624,0.0,-0.1651724453630119
AS,2024-12-10,2024-12-11,25.639999389648438,2024-12-12,26.92199935913086,tp_intraday,1,0.050000000000000044,0.0783931465183001,0.0
ASGI,2024-12-11,2024-12-12,19.030000686645508,2025-01-06,17.127000617980958,stop_intraday,15,-0.09999999999999998,0.0,-0.1107724501090035
ASH,2024-12-06,2024-12-09,76.47000122070312,2025-01-10,68.82300109863282,stop_intraday,21,-0.09999999999999998,0.0,-0.10370080003384186
ATEX,2024-12-09,2024-12-10,34.31999969482422,2024-12-18,30.887999725341796,stop_intraday,6,-0.09999999999999998,0.0,-0.13636364646825938
ATRO,2024-12-12,2024-12-13,16.209999084472656,2025-01-15,17.02049903869629,tp_intraday,20,0.050000000000000044,0.05490446312545383,-0.03763101403177993
AURE,2024-12-13,2024-12-16,1.5299999713897705,2024-12-17,1.2699999809265137,stop_gap_open,1,-0.16993463746740245,0.0,-0.05228753281177323
AZTA,2024-12-06,2024-12-09,45.650001525878906,2024-12-18,47.932501602172856,tp_intraday,7,0.050000000000000044,0.11281484203811298,-0.02541072965253921
AZUL4.SA,2024-12-06,2024-12-09,4.460000038146973,2024-12-18,3.84582781207056,stop_intraday,7,-0.13770677596935332,0.011210805001615531,-0.20852019255667897
BAC-PM,2024-12-13,2024-12-16,22.899999618530273,2025-11-07,22.8700008392334,data_end,224,-0.0013099903841308214,0.03886468610579796,-0.08515278987222841
BBAI,2024-12-06,2024-12-09,4.150000095367432,2024-12-10,3.4200000762939453,stop_gap_open,1,-0.1759036150115687,0.0,-0.2506024521379022
BBAI,2024-12-12,2024-12-13,2.619999885559082,2024-12-16,2.7509998798370363,tp_intraday,1,0.050000000000000044,0.2137405365109859,-0.026717532939075084
BCAT,2024-12-16,2024-12-17,15.90999984741211,2025-03-28,14.318999862670898,stop_intraday,68,-0.09999999999999998,0.0,-0.10119419686475517
BCC,2024-12-10,2024-12-11,144.5800018310547,2024-12-18,130.12200164794922,stop_intraday,5,-0.09999999999999998,0.0,-0.13196847136127543
BCTX,2024-12-05,2024-12-06,10.100000381469727,2024-12-09,10.605000400543213,tp_intraday,1,0.050000000000000044,0.24752474312641626,-0.04950494862528321
BCTX,2024-12-10,2024-12-11,11.0,2024-12-12,6.800000190734863,stop_gap_open,1,-0.3818181644786488,0.0,-0.4000000086697665
BCYC,2024-12-17,2024-12-18,16.469999313354492,2024-12-19,14.822999382019043,stop_intraday,1,-0.09999999999999998,0.0,-0.10443226381678428
BEAGU,2024-12-09,2024-12-10,10.039999961853027,2025-04-24,10.541999959945679,tp_intraday,91,0.050000000000000044,0.09960159400393409,-0.001991982486588051
BEEM,2024-12-06,2024-12-09,2.9100000858306885,2024-12-18,3.055500090122223,tp_intraday,7,0.050000000000000044,0.21649479637128577,-0.07216495943402212
BEIGF,2024-12-10,2024-12-11,14.399999618530273,2025-01-14,15.140000343322754,tp_gap_open,21,0.05138894058304211,0.05138894058304211,-0.05034718381953729
BEN,2024-12-06,2024-12-09,22.020000457763672,2025-01-07,19.818000411987306,stop_intraday,19,-0.09999999999999998,0.01680285759278055,-0.10944594901506488
BEN,2024-12-12,2024-12-13,22.200000762939453,2024-12-19,19.980000686645507,stop_intraday,4,-0.09999999999999998,0.0,-0.10090097303988577
BETR,2024-12-17,2024-12-18,11.489999771118164,2024-12-19,10.340999794006349,stop_intraday,1,-0.09999999999999987,0.0,-0.17319406534022108
BGR,2024-12-06,2024-12-09,13.550000190734863,2025-04-04,12.195000171661377,stop_intraday,79,-0.09999999999999998,0.025092261830400142,-0.1276753115541337
BLD,2024-12-05,2024-12-06,382.68499755859375,2024-12-13,344.4164978027344,stop_intraday,5,-0.09999999999999998,0.0,-0.11120109998371586
BLIN,2024-12-13,2024-12-16,1.3200000524520874,2024-12-17,1.3860000550746918,tp_intraday,1,0.050000000000000044,0.06818175044926988,0.0
BLK,2024-12-06,2024-12-09,1049.969970703125,2025-01-13,944.9729736328126,stop_intraday,22,-0.09999999999999998,0.014562358437985479,-0.10155523188558457
BNRG,2024-12-05,2024-12-06,3.755000114440918,2024-12-09,3.9427501201629642,tp_intraday,1,0.050000000000000044,0.06524630575026236,0.0
BNTC,2024-12-06,2024-12-09,11.350000381469727,2024-12-10,12.010000228881836,tp_gap_open,1,0.05814976433742158,0.03436117854984033,0.0
BNY,2024-12-13,2024-12-16,10.649999618530273,2025-04-09,9.584999656677246,stop_intraday,77,-0.10000000000000009,0.0,-0.1023473462869473
BOF,2024-12-11,2024-12-12,1.9299999475479126,2024-12-13,1.7369999527931215,stop_intraday,1,-0.09999999999999998,0.0,-0.10362690876159275
BRLT,2024-12-13,2024-12-16,1.9900000095367432,2024-12-23,2.0895000100135803,tp_intraday,5,0.050000000000000044,0.05025120811725392,-0.020100483246901613
BRN,2024-12-06,2024-12-09,1.5299999713897705,2024-12-10,1.659999966621399,tp_gap_open,1,0.08496731873370122,0.11764710465562933,0.0
BSRR,2024-12-06,2024-12-09,31.450000762939453,2024-12-31,28.30500068664551,stop_intraday,15,-0.09999999999999998,0.0,-0.10969795482500966
BTA,2024-12-13,2024-12-16,10.710000038146973,2024-12-20,9.639000034332275,stop_intraday,4,-0.09999999999999998,0.0,-0.11484598426980563
BWB,2024-12-06,2024-12-09,15.149999618530273,2024-12-20,13.634999656677246,stop_intraday,9,-0.09999999999999998,0.021122155548250587,-0.10561052594604814
CABA,2024-12-05,2024-12-06,3.2699999809265137,2024-12-10,2.942999982833862,stop_intraday,2,-0.09999999999999998,0.0,-0.15290519966863458
CADL,2024-12-17,2024-12-18,6.730000019073486,2024-12-19,7.066500020027161,tp_intraday,1,0.050000000000000044,0.5423477095130713,-0.03566125516718244
CAG,2024-12-06,2024-12-09,27.329999923706055,2025-02-10,24.59699993133545,stop_intraday,41,-0.09999999999999998,0.031833181180463965,-0.1090376710777623
CARV,2024-12-12,2024-12-13,1.809999942779541,2025-03-03,1.628999948501587,stop_intraday,51,-0.09999999999999998,0.049723776919236684,-0.13812155132783344
CAZ0.SG,2024-12-09,2024-12-10,28.399999618530273,2025-01-20,26.88960704736116,stop_intraday,24,-0.05318283772735055,0.04225354855837682,-0.05633804235778117
CBNA,2024-12-06,2024-12-09,26.489999771118164,2024-12-19,23.840999794006347,stop_intraday,8,-0.09999999999999998,0.026047585504697546,-0.10343525084154825
CBOE,2024-12-06,2024-12-09,202.44000244140625,2025-02-07,212.56200256347657,tp_intraday,40,0.050000000000000044,0.05102747335741897,-0.057300958128930546
CCI,2024-12-06,2024-12-09,101.55000305175781,2024-12-19,91.39500274658204,stop_intraday,8,-0.09999999999999998,0.0,-0.10694239570644282
CDTX,2024-12-09,2024-12-10,22.170000076293945,2024-12-13,23.278500080108643,tp_intraday,3,0.050000000000000044,0.07758228720953686,-0.023906210411439255
CE,2024-12-05,2024-12-06,70.25,2024-12-09,73.7625,tp_intraday,1,0.050000000000000044,0.07345200942504437,0.0
CERO,2024-12-13,2024-12-16,112.0,2024-12-17,100.0,stop_gap_open,1,-0.1071428571428571,0.08928571428571419,0.0
