,peak_gain_20d,max_drop_20d
N,325.0,325.0
mean,0.12373844379327004,-0.11433244846705984
median,0.02020856993864406,-0.08888887476038054
stdev,0.3886048202713462,0.11562811581854848
hit_%_>0,67.6923076923077,5.846153846153846
p25,-0.0058715540334719485,-0.15785933420321951
p75,0.10937496856786355,-0.04986638368382923
