,,aret_1d,aret_5d,aret_20d
mid_large|SC 13G/A,stdev,0.0339011501846931,0.08803425481871822,0.2617727460684755
mid_large|SC 13G/A,hit_%_>0,47.368421052631575,33.33333333333333,37.735849056603776
mid_large|SC 13G/A,p25,-0.02021269804575221,-0.046083011055948364,-0.08430172843994366
mid_large|SC 13G/A,p75,0.013973213260952133,0.010817450936351114,0.03691593142621852
unknown|SC 13D,N,1.0,1.0,1.0
unknown|SC 13D,mean,0.0005520393197091522,0.012709220780169228,0.1197416202153252
unknown|SC 13D,median,0.0005520393197091522,0.012709220780169228,0.1197416202153252
unknown|SC 13D,stdev,,,
unknown|SC 13D,hit_%_>0,100.0,100.0,100.0
unknown|SC 13D,p25,0.0005520393197091522,0.012709220780169228,0.1197416202153252
unknown|SC 13D,p75,0.0005520393197091522,0.012709220780169228,0.1197416202153252
unknown|SC 13D/A,N,3.0,3.0,2.0
unknown|SC 13D/A,mean,-0.0035578164527605796,0.004749812388754826,0.02283163665818788
unknown|SC 13D/A,median,-0.0025025762672611362,0.010913367712812039,0.02283163665818788
unknown|SC 13D/A,stdev,0.0035285055282155186,0.011096953745502302,0.0036624308992812007
unknown|SC 13D/A,hit_%_>0,0.0,66.66666666666666,100.0
unknown|SC 13D/A,p25,-0.00499806057041835,0.0014262813737010993,0.02153677179593344
unknown|SC 13D/A,p75,-0.0015899522423530876,0.011155121065837159,0.024126501520442323
unknown|SC 13G/A,N,1.0,1.0,1.0
unknown|SC 13G/A,mean,-0.02273092451243286,-0.05916587542944529,-0.0395469906150725
unknown|SC 13G/A,median,-0.02273092451243286,-0.05916587542944529,-0.0395469906150725
unknown|SC 13G/A,stdev,,,
unknown|SC 13G/A,hit_%_>0,0.0,0.0,0.0
unknown|SC 13G/A,p25,-0.02273092451243286,-0.05916587542944529,-0.0395469906150725
unknown|SC 13G/A,p75,-0.02273092451243286,-0.05916587542944529,-0.0395469906150725
