,aret_1d,aret_5d,aret_20d
N,324.0,325.0,284.0
mean,-0.0036013985099759374,-0.013224109202631451,0.025635278961507798
median,-0.004793705553370442,-0.01734383617999502,-0.013881920862987673
stdev,0.08254262028201935,0.14855804104297407,0.36891636680050377
hit_%_>0,41.9753086419753,33.53846153846154,41.19718309859155
p25,-0.020300948586642525,-0.0590972025127392,-0.08445520564559025
p75,0.008932098345987294,0.01139687441886228,0.044802469204691525
