,ret_1d,ret_5d,ret_20d
N,324.0,325.0,288.0
mean,-0.0065769682860170675,-0.025186416040551992,-0.0034757177143542855
median,-0.006821695250893878,-0.030470885953559068,-0.04625920992949578
stdev,0.08284523672929432,0.14967500992806598,0.36727817493454135
hit_%_>0,33.95061728395062,26.769230769230766,31.59722222222222
p25,-0.022448817255743297,-0.06999996730259483,-0.1095550703870947
p75,0.007590417110550085,0.006183718790754522,0.015267709896676473
