,,ret_1d,ret_5d,ret_20d
SC 13D,N,17.0,17.0,14.0
SC 13D,mean,-0.00041534338972397145,0.004543878328884391,0.10588573934833112
SC 13D,median,-0.015075362435176154,-0.08085370583534457,-0.01594806459665704
SC 13D,stdev,0.13412407224658665,0.38513921655792865,0.40032322790213254
SC 13D,hit_%_>0,29.411764705882355,23.52941176470588,50.0
SC 13D,p25,-0.027027000903735332,-0.1397027224952624,-0.08215215783572433
SC 13D,p75,0.0018726305480090133,-0.01135409309229296,0.07681728482487671
SC 13D/A,N,175.0,176.0,155.0
SC 13D/A,mean,-0.01160379483196854,-0.04058453521153138,-0.0334312424969365
SC 13D/A,median,-0.008015421078619966,-0.034717948989988534,-0.03899721991108962
SC 13D/A,stdev,0.08520343849172127,0.10788574449022775,0.18443638705132137
SC 13D/A,hit_%_>0,27.42857142857143,20.454545454545457,29.03225806451613
SC 13D/A,p25,-0.019419048915242765,-0.06541888667929915,-0.0990449632998473
SC 13D/A,p75,0.003392455755167445,-0.00574322244834316,0.01260349808444583
SC 13G,N,50.0,50.0,43.0
SC 13G,mean,-0.0003639903786954179,-0.003547733262716124,0.09612370421246846
SC 13G,median,-5.237547483805116e-05,-0.012791720648801852,-0.041362457697233346
SC 13G,stdev,0.08682797389734406,0.16721019975221044,0.785663331995167
SC 13G,hit_%_>0,44.0,42.0,34.883720930232556
SC 13G,p25,-0.02469150031124631,-0.05474262144473968,-0.10694458953285185
SC 13G,p75,0.008315560544945533,0.03557479188332674,0.014432883909004879
SC 13G/A,N,82.0,82.0,76.0
SC 13G/A,mean,-0.0009147960062799693,-0.011494710785428101,-0.018880049298969165
SC 13G/A,median,-0.0026043842344003476,-0.020132989038245286,-0.06932649734247343
SC 13G/A,stdev,0.05950528818817629,0.13065378462678276,0.25076116916544994
SC 13G/A,hit_%_>0,42.68292682926829,31.70731707317073,31.57894736842105
SC 13G/A,p25,-0.02541226954533657,-0.07942749196012161,-0.13537169752656122
SC 13G/A,p75,0.013101377882714982,0.008729561763552607,0.013444861673513497
