,,ret_1d,ret_5d,ret_20d
micro|SC 13G/A,p25,-0.030646376901812877,-0.1246923116537241,-0.22576008430689343
micro|SC 13G/A,p75,0.024545430459760098,0.009048202576974862,0.08192950148304401
mid_large|SC 13D,N,5.0,5.0,3.0
mid_large|SC 13D,mean,-0.012391498837183268,-0.06964408266639155,-0.019270241701384583
mid_large|SC 13D,median,-0.01944768641792649,-0.0710491778675374,0.00327977639292909
mid_large|SC 13D,stdev,0.016433031935037444,0.0475081953688796,0.04737389621611075
mid_large|SC 13D,hit_%_>0,20.0,0.0,66.66666666666666
mid_large|SC 13D,p25,-0.022244357822899685,-0.08085370583534457,-0.03521344937443227
mid_large|SC 13D,p75,-0.009183361388895084,-0.04526071404152043,0.007947975018819942
mid_large|SC 13D/A,N,103.0,104.0,91.0
mid_large|SC 13D/A,mean,-0.010508120853829557,-0.03497759812414737,-0.0375814096812227
mid_large|SC 13D/A,median,-0.009271545681188043,-0.034575292750562536,-0.038902253002513154
mid_large|SC 13D/A,stdev,0.034486732664067404,0.07358781298516735,0.10679518110168632
mid_large|SC 13D/A,hit_%_>0,27.184466019417474,19.230769230769234,25.274725274725274
mid_large|SC 13D/A,p25,-0.016209544672219856,-0.05571826248974124,-0.09398651599936558
mid_large|SC 13D/A,p75,0.0020631237404830083,-0.011706636095574346,0.0011752386731129216
mid_large|SC 13G,N,33.0,33.0,27.0
mid_large|SC 13G,mean,0.010120679132311598,0.02392942285022165,0.17038620175280061
mid_large|SC 13G,median,0.0,0.0,-0.02581266317198827
mid_large|SC 13G,stdev,0.09410617905689625,0.16910662720887554,0.9607377045263886
mid_large|SC 13G,hit_%_>0,45.45454545454545,48.484848484848484,33.33333333333333
mid_large|SC 13G,p25,-0.020942388335015272,-0.03926699893256713,-0.06795905878161529
mid_large|SC 13G,p75,0.007042280479784058,0.04055846546048336,0.013027104825367064
mid_large|SC 13G/A,N,57.0,57.0,53.0
mid_large|SC 13G/A,mean,-0.004776188730470221,-0.00931070367039108,0.0042797812484451645
mid_large|SC 13G/A,median,-0.00507295860283552,-0.01774373157100173,-0.06409361417415493
mid_large|SC 13G/A,stdev,0.034163725714658616,0.0872246094763115,0.26253941235785205
mid_large|SC 13G/A,hit_%_>0,42.10526315789473,29.82456140350877,28.30188679245283
mid_large|SC 13G/A,p25,-0.024030446099691072,-0.048864038281370314,-0.11059535068847393
mid_large|SC 13G/A,p75,0.01170873383525528,0.008036423710929164,0.005806461457283252
unknown|SC 13D,N,1.0,1.0,1.0
unknown|SC 13D,mean,0.0018726305480090133,0.009737764573178875,0.0868913718551072
unknown|SC 13D,median,0.0018726305480090133,0.009737764573178875,0.0868913718551072
unknown|SC 13D,stdev,,,
unknown|SC 13D,hit_%_>0,100.0,100.0,100.0
unknown|SC 13D,p25,0.0018726305480090133,0.009737764573178875,0.0868913718551072
unknown|SC 13D,p75,0.0018726305480090133,0.009737764573178875,0.0868913718551072
unknown|SC 13D/A,N,3.0,3.0,2.0
unknown|SC 13D/A,mean,-0.0038874415212272195,-0.0052017324407291525,-0.006522516325680405
unknown|SC 13D/A,median,-0.0011819850389612752,-0.011032261172400193,-0.006522516325680405
unknown|SC 13D/A,stdev,0.005740121969211994,0.012331784171762701,0.008606656395864824
unknown|SC 13D/A,hit_%_>0,0.0,33.33333333333333,0.0
unknown|SC 13D/A,p25,-0.005831162281840829,-0.012284677990269388,-0.0095654288761097
unknown|SC 13D/A,p75,-0.0005909925194806376,-0.0010340512570244376,-0.003479603775251111
unknown|SC 13G/A,N,1.0,1.0,1.0
unknown|SC 13G/A,mean,-0.026548672566371723,-0.06194690265486724,-0.07079646017699115
unknown|SC 13G/A,median,-0.026548672566371723,-0.06194690265486724,-0.07079646017699115
unknown|SC 13G/A,stdev,,,
unknown|SC 13G/A,hit_%_>0,0.0,0.0,0.0
unknown|SC 13G/A,p25,-0.026548672566371723,-0.06194690265486724,-0.07079646017699115
unknown|SC 13G/A,p75,-0.026548672566371723,-0.06194690265486724,-0.07079646017699115
