ticker,file_date,entry_day,entry_price,exit_day,exit_price,exit_reason,bars_held,pnl_pct,peak_gain_pct,max_drawdown_pct
0547.HK,2024-12-09,2024-12-10,0.4950000047683716,2025-02-28,0.44945780469898305,stop_intraday,52,-0.09200444369833771,0.050505001853162534,-0.15151518617962167
13O.F,2024-12-11,2024-12-12,0.01600000075995922,2024-12-13,0.01600000075995922,stop_gap_open,1,0.0,0.0,0.0
1965.HK,2024-12-11,2024-12-12,0.1720000058412552,2025-03-03,0.18920000642538073,tp_intraday,51,0.10000000000000009,0.10465111141433248,-0.03488379043943268
2BO.F,2024-12-09,2024-12-10,4.71999979019165,2024-12-23,5.449999809265137,tp_gap_open,9,0.1546610278649707,0.1440678676700049,-0.19491522855301036
6JV.F,2024-12-12,2024-12-13,24.600000381469727,2024-12-18,23.0,stop_gap_open,3,-0.06504066490482452,0.0,-0.06504066490482452
AAP,2024-12-09,2024-12-10,47.310001373291016,2024-12-19,42.57900123596192,stop_intraday,7,-0.09999999999999987,0.0,-0.12978235100648416
AB,2025-02-24,2025-02-25,37.52000045776367,2025-04-07,33.76800041198731,stop_intraday,29,-0.09999999999999987,0.039712096097835214,-0.13379531973659475
AB,2025-03-17,2025-03-18,37.63999938964844,2025-04-07,33.875999450683594,stop_intraday,14,-0.09999999999999998,0.03639742173485616,-0.13655684040903604
AB,2025-03-25,2025-03-26,38.380001068115234,2025-04-07,34.542000961303714,stop_intraday,8,-0.09999999999999998,0.016414727355006375,-0.1532048177299331
AB,2025-04-02,2025-04-03,37.099998474121094,2025-04-07,33.38999862670899,stop_intraday,2,-0.09999999999999998,0.0,-0.12398918229955713
ABLLL,2024-12-10,2024-12-11,26.700000762939453,2024-12-27,29.370000839233402,tp_intraday,11,0.10000000000000009,0.12509363509921423,-0.0011236211905713
ACIU,2024-12-13,2024-12-16,2.940000057220459,2024-12-19,2.646000051498413,stop_intraday,3,-0.09999999999999998,0.0,-0.10884359368479479
AFB,2024-12-13,2024-12-16,11.229999542236328,2025-04-09,10.106999588012696,stop_intraday,77,-0.09999999999999987,0.0062333616519982815,-0.11041850593621949
AFIB,2024-12-16,2024-12-17,0.05999999865889549,2024-12-18,0.053999998793005946,stop_intraday,1,-0.09999999999999998,0.030000011796752935,-0.266666654249032
AGAE,2024-12-11,2024-12-12,0.8299999833106995,2024-12-17,0.7469999849796295,stop_intraday,3,-0.09999999999999998,0.009638573943764328,-0.10000000718128266
AIM,2024-12-17,2024-12-18,21.0,2024-12-23,18.900000000000002,stop_intraday,3,-0.09999999999999987,0.0,-0.1428571428571429
AIZ,2024-12-09,2024-12-10,217.75,2025-04-04,195.975,stop_intraday,78,-0.09999999999999998,0.004225020293663784,-0.1414925261014638
AKAM,2024-12-06,2024-12-09,97.75,2025-02-21,87.97500000000001,stop_intraday,49,-0.09999999999999987,0.044501263162364024,-0.21739130434782605
AKTX,2024-12-06,2024-12-09,1.2300000190734863,2024-12-10,1.1070000171661378,stop_intraday,1,-0.09999999999999987,0.0,-0.24390244493403168
ALB,2024-12-05,2024-12-06,102.0,2024-12-09,112.2,tp_intraday,1,0.10000000000000009,0.1167647417853861,0.0
ALIT,2024-12-05,2024-12-06,7.550000190734863,2024-12-19,6.7950001716613775,stop_intraday,9,-0.09999999999999998,0.0,-0.1059602874866944
ALIT,2024-12-10,2024-12-11,7.480000019073486,2024-12-20,6.690000057220459,stop_gap_open,7,-0.10561496789285851,0.0,-0.09625665619728618
AOD,2024-12-06,2024-12-09,8.789999961853027,2025-04-04,7.910999965667725,stop_intraday,79,-0.09999999999999998,0.007963560310353168,-0.12969281813799594
APO,2024-12-11,2024-12-12,178.52999877929688,2025-01-08,160.6769989013672,stop_intraday,17,-0.09999999999999998,0.0,-0.10692878770189285
APPF,2024-12-06,2024-12-09,263.0,2025-01-31,236.70000000000002,stop_intraday,35,-0.09999999999999998,0.0024714596824499946,-0.13155895856850053
